keyword_busqueda,titulo,empresa,ubicacion,descripcion,salario_min,salario_max,fecha_creacion,url
java,Consultor/a Java - Documentum,Procesia,España,"Hay personas que escriben código. Y luego están quienes leen el código de otros sin perder la fe en la humanidad. Si alguna vez has abierto un proyecto heredado, visto 20.000 líneas de código, respirado hondo y pensado ""vamos a poner orden aquí"", probablemente tengamos algo en común. Buscamos un/a Consultor/a Java / Documentum para incorporarse a un proyecto donde la calidad del software no es un apartado de una presentación, sino una responsabilidad diaria. Porque desarrollar es importante. Pe…",,,2026-09-10T15:48:23Z,https://www.adzuna.es/land/ad/5878500389?se=4jOkAyuw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=625435E10C92377B0EF23FAE157FCEC16BE56E49
java,Senior Java ASO/APX,Plexus Tech,España,"En Plexus Tech seguimos creciendo y buscamos a profesionales para trabajar en el desarrollo de tecnología con alma. Somos una compañía tecnológica especializada en servicios y productos IT, basados en la innovación y el desarrollo. Fundada en el talento y las capacidades de nuestra gente, casi 5.000 profesionales que crecen con nosotros en proyectos propios, compañías del IBEX 35, grandes retailers, operadores turísticos, entidades financieras, organismos públicos y empresas internacionales. Bu…",,,2026-09-09T03:46:34Z,https://www.adzuna.es/land/ad/5876468318?se=4jOkAyuw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=9FC70247BC3C89C3C3CB3307FA056013C3019D5F
java,Arquitecto/a Software - Java,BCNC GROUP,España,"En BCNC Group buscamos un/a Arquitecto/a de Software con experiencia sólida en sistemas distribuidos y capacidad hands‑on para liderar decisiones técnicas en plataformas de alto impacto. Tu misión Diseñar y evolucionar la arquitectura de soluciones y plataformas. Liderar decisiones clave: patrones, integración, seguridad, datos y cloud. Acompañar a varios equipos asegurando coherencia técnica y buenas prácticas. Definir estándares, guías y roadmaps arquitectónicos. Participar en POCs, revisione…",,,2026-09-09T15:48:40Z,https://www.adzuna.es/land/ad/5877134152?se=4jOkAyuw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=393D108E1718094F39C79022533C342A7B0BE3C1
java,Desarrollador Java,Musicales Doris IT,Zaragoza,"Desarrollador Java Musicales Doris IT Calle Alfonso I, 10, 50003 Zaragoza, España Salario: €3.000 / mes Sobre el Puesto Musicales Doris IT busca un(a) Desarrollador(a) Java para participar en el diseño y desarrollo de soluciones de software innovadoras. Responsabilidades Desarrollar, probar y mantener aplicaciones Java. Colaborar con equipos multidisciplinarios. Resolver incidencias técnicas y optimizar aplicaciones. Garantizar la calidad y el rendimiento del software. Mantener documentación té…",,,2026-06-29T09:06:14Z,https://www.adzuna.es/details/5780929103?utm_medium=api&utm_source=183d4d76
java,Java Developer,Worldhire,España,"Location - Spain (Remote) Job Description For an existing project entering a new life cycle, we are looking for senior engineers with strong communication skills, looking for a challenging context in a complex client landscape & solution with complex business insights. Must Have Skill - Java (Expert) Dev - Backend - Skills Required Java 11 Microservice Architectue Spring boot REST communication Hibernate RDBMS(MariaDB) and NoSql(Mongo) DB Drools Rule Engine Reactive and functional programming K…",,,2025-03-31T12:39:22Z,https://www.adzuna.es/details/5119719363?utm_medium=api&utm_source=183d4d76
java,Java developer,Osclass,España,"Provides Java Programming skills and experience in support of the full Software Development Life Cycle (SDLC) for FAA ATO IT software development projects Responsible for development and maintenance of existing Java based web service applications using Spring and Hibernate frameworks, and Oracle database systems Works with both FAA government personnel and other vendors in a software development team based upon the Agile methodology Provides well commented code and documentation describing the …",,,2024-07-30T15:52:58Z,https://www.adzuna.es/details/4800596476?utm_medium=api&utm_source=183d4d76
java,Java Developer,Utimaco,Madrid,"Java Developer ABOUT UTIMACO Utimaco is a worldwide supplier of professional cyber-security solutions and is based in Aachen, Germany. Since 1983, Utimaco develops hardware security modules and compliance solutions for telecommunication provider regulations. Utimaco is a world-market leader in both segments. Customers and parters of Utimaco in all parts of the world trust the company's long-term, proven reliability and investments protection, as well as its many certified IT security standards.…",,,2026-07-23T01:27:12Z,https://www.adzuna.es/details/5811522882?utm_medium=api&utm_source=183d4d76
java,Java Developer,Econocom,"Asturias, Principado de Asturias","¡Estamos contratando! Dentro del Grupo Econocom España, esta oferta es para la empresa Econocom Productos & Solutions España y si te identificas como DESARROLLADOR/A en Java y te interesa el mundo Linux, tienes inquietudes por la innovación, consultoría, dispones de habilidades para la resolución de problemas, orientación a los detalles y una clara mentalidad analítica, no busques más tenemos un hueco para ti, ¡únete al equipo! Te buscamos , si a ti, un/a Desarrollador/a con experiencia en Java…",,,2026-09-12T00:40:00Z,https://www.adzuna.es/details/5880203866?utm_medium=api&utm_source=183d4d76
java,Java Developer,Econocom,Madrid,"¡Estamos contratando! Dentro del Grupo Econocom España, esta oferta es para la empresa Econocom Productos & Solutions España y si te identificas como DESARROLLADOR/A en Java y te interesa el mundo Linux , tienes inquietudes por la innovación, consultoría , dispones de habilidades para la resolución de problemas, orientación a los detalles y una clara mentalidad analítica, no busques más tenemos un hueco para ti, ¡únete al equipo! Te buscamos , si a ti, un/a Desarrollador/a con experiencia en Ja…",,,2026-09-12T00:39:51Z,https://www.adzuna.es/details/5880202176?utm_medium=api&utm_source=183d4d76
java,Java Developer,Econocom,"Gijón, Asturias","¡Estamos contratando! Dentro del Grupo Econocom España, esta oferta es para la empresa Econocom Productos & Solutions España y si te identificas como DESARROLLADOR/A en Java y te interesa el mundo Linux , tienes inquietudes por la innovación, consultoría , dispones de habilidades para la resolución de problemas, orientación a los detalles y una clara mentalidad analítica, no busques más tenemos un hueco para ti, ¡únete al equipo! Te buscamos , si a ti, un/a Desarrollador/a con experiencia en Ja…",,,2026-09-13T00:30:00Z,https://www.adzuna.es/details/5881842801?utm_medium=api&utm_source=183d4d76
